case_id,domain,complaint_text,duration,expected_priority,acceptable_priorities,accepted_specialties,expected_orientation,clinical_rationale
B06-240,Fièvres hémorragiques virales,"Aucun symptôme, simple question après voyage dans une zone ayant eu une alerte ancienne.",1 à 3 jours,P4,P3|P4,Infectiologie|Médecine tropicale,Conseils / autosurveillance,"Absence de symptôme actuel, orientation selon exposition réelle."
B06-241,Trypanosomiase,"fièvre et somnolence avec confusion, faiblesse majeure ou impossibilité de boire.",Moins de 24 heures,P1,P1,Médecine tropicale|Infectiologie|Médecine d’urgence,Urgences / évaluation immédiate,Infection avec signe de gravité systémique.
B06-242,Trypanosomiase,"fièvre et somnolence depuis deux jours, état général altéré mais patient conscient et capable de boire.",1 à 3 jours,P2,P2,Médecine tropicale|Infectiologie,Consultation médicale prioritaire,Infection symptomatique nécessitant évaluation rapide.
B06-243,Trypanosomiase,"fièvre et somnolence léger et stable, sans signe de gravité, depuis plusieurs jours.",Plus d'une semaine,P3,P3|P4,Médecine tropicale|Infectiologie,Consultation non urgente / programmée,Tableau léger/stable sans danger sign.
B06-244,Schistosomiase,"hématurie après eau douce avec confusion, faiblesse majeure ou impossibilité de boire.",Moins de 24 heures,P1,P1,Médecine tropicale|Infectiologie|Médecine d’urgence,Urgences / évaluation immédiate,Infection avec signe de gravité systémique.
B06-245,Schistosomiase,"hématurie après eau douce depuis deux jours, état général altéré mais patient conscient et capable de boire.",1 à 3 jours,P2,P2,Médecine tropicale|Infectiologie,Consultation médicale prioritaire,Infection symptomatique nécessitant évaluation rapide.
B06-246,Schistosomiase,"hématurie après eau douce léger et stable, sans signe de gravité, depuis plusieurs jours.",Plus d'une semaine,P3,P3|P4,Médecine tropicale|Infectiologie,Consultation non urgente / programmée,Tableau léger/stable sans danger sign.
B06-247,Filariose,"œdème lymphatique avec confusion, faiblesse majeure ou impossibilité de boire.",Moins de 24 heures,P1,P1,Médecine tropicale|Infectiologie|Médecine d’urgence,Urgences / évaluation immédiate,Infection avec signe de gravité systémique.
B06-248,Filariose,"œdème lymphatique depuis deux jours, état général altéré mais patient conscient et capable de boire.",1 à 3 jours,P2,P2,Médecine tropicale|Infectiologie,Consultation médicale prioritaire,Infection symptomatique nécessitant évaluation rapide.
B06-249,Filariose,"œdème lymphatique léger et stable, sans signe de gravité, depuis plusieurs jours.",Plus d'une semaine,P3,P3|P4,Médecine tropicale|Infectiologie,Consultation non urgente / programmée,Tableau léger/stable sans danger sign.
B06-250,Onchocercose,"prurit chronique et trouble visuel avec confusion, faiblesse majeure ou impossibilité de boire.",Moins de 24 heures,P1,P1,Médecine tropicale|Ophtalmologie|Dermatologie|Médecine d’urgence,Urgences / évaluation immédiate,Infection avec signe de gravité systémique.
B06-251,Onchocercose,"prurit chronique et trouble visuel depuis deux jours, état général altéré mais patient conscient et capable de boire.",1 à 3 jours,P2,P2,Médecine tropicale|Ophtalmologie|Dermatologie,Consultation médicale prioritaire,Infection symptomatique nécessitant évaluation rapide.
B06-252,Onchocercose,"prurit chronique et trouble visuel léger et stable, sans signe de gravité, depuis plusieurs jours.",Plus d'une semaine,P3,P3|P4,Médecine tropicale|Ophtalmologie|Dermatologie,Consultation non urgente / programmée,Tableau léger/stable sans danger sign.
B06-253,Leishmaniose,"lésion cutanée chronique avec confusion, faiblesse majeure ou impossibilité de boire.",Moins de 24 heures,P1,P1,Médecine tropicale|Dermatologie|Infectiologie|Médecine d’urgence,Urgences / évaluation immédiate,Infection avec signe de gravité systémique.
B06-254,Leishmaniose,"lésion cutanée chronique depuis deux jours, état général altéré mais patient conscient et capable de boire.",1 à 3 jours,P2,P2,Médecine tropicale|Dermatologie|Infectiologie,Consultation médicale prioritaire,Infection symptomatique nécessitant évaluation rapide.
B06-255,Leishmaniose,"lésion cutanée chronique léger et stable, sans signe de gravité, depuis plusieurs jours.",Plus d'une semaine,P3,P3|P4,Médecine tropicale|Dermatologie|Infectiologie,Consultation non urgente / programmée,Tableau léger/stable sans danger sign.
B06-256,Amibiase,"diarrhée glairo-sanglante avec confusion, faiblesse majeure ou impossibilité de boire.",Moins de 24 heures,P1,P1,Médecine tropicale|Gastro-entérologie|Médecine d’urgence,Urgences / évaluation immédiate,Infection avec signe de gravité systémique.
B06-257,Amibiase,"diarrhée glairo-sanglante depuis deux jours, état général altéré mais patient conscient et capable de boire.",1 à 3 jours,P2,P2,Médecine tropicale|Gastro-entérologie,Consultation médicale prioritaire,Infection symptomatique nécessitant évaluation rapide.
B06-258,Amibiase,"diarrhée glairo-sanglante léger et stable, sans signe de gravité, depuis plusieurs jours.",Plus d'une semaine,P3,P3|P4,Médecine tropicale|Gastro-entérologie,Consultation non urgente / programmée,Tableau léger/stable sans danger sign.
B06-259,Helminthiases intestinales,"douleur abdominale avec parasitose avec confusion, faiblesse majeure ou impossibilité de boire.",Moins de 24 heures,P1,P1,Médecine tropicale|Gastro-entérologie|Médecine d’urgence,Urgences / évaluation immédiate,Infection avec signe de gravité systémique.
B06-260,Helminthiases intestinales,"douleur abdominale avec parasitose depuis deux jours, état général altéré mais patient conscient et capable de boire.",1 à 3 jours,P2,P2,Médecine tropicale|Gastro-entérologie,Consultation médicale prioritaire,Infection symptomatique nécessitant évaluation rapide.
B06-261,Helminthiases intestinales,"douleur abdominale avec parasitose léger et stable, sans signe de gravité, depuis plusieurs jours.",Plus d'une semaine,P3,P3|P4,Médecine tropicale|Gastro-entérologie,Consultation non urgente / programmée,Tableau léger/stable sans danger sign.
B06-262,VIH/IST,"symptômes infectieux prolongés avec confusion, faiblesse majeure ou impossibilité de boire.",Moins de 24 heures,P1,P1,Infectiologie|Médecine d’urgence,Urgences / évaluation immédiate,Infection avec signe de gravité systémique.
B06-263,VIH/IST,"symptômes infectieux prolongés depuis deux jours, état général altéré mais patient conscient et capable de boire.",1 à 3 jours,P2,P2,Infectiologie,Consultation médicale prioritaire,Infection symptomatique nécessitant évaluation rapide.
B06-264,VIH/IST,"symptômes infectieux prolongés léger et stable, sans signe de gravité, depuis plusieurs jours.",Plus d'une semaine,P3,P3|P4,Infectiologie,Consultation non urgente / programmée,Tableau léger/stable sans danger sign.
B06-265,Infections respiratoires aiguës,"toux récente avec confusion, faiblesse majeure ou impossibilité de boire.",Moins de 24 heures,P1,P1,Pneumologie|Médecin généraliste|Infectiologie|Médecine d’urgence,Urgences / évaluation immédiate,Infection avec signe de gravité systémique.
B06-266,Infections respiratoires aiguës,"toux récente depuis deux jours, état général altéré mais patient conscient et capable de boire.",1 à 3 jours,P2,P2,Pneumologie|Médecin généraliste|Infectiologie,Consultation médicale prioritaire,Infection symptomatique nécessitant évaluation rapide.
B06-267,Infections respiratoires aiguës,"toux récente léger et stable, sans signe de gravité, depuis plusieurs jours.",Plus d'une semaine,P3,P3|P4,Pneumologie|Médecin généraliste|Infectiologie,Consultation non urgente / programmée,Tableau léger/stable sans danger sign.
B06-268,Zoonoses,"fièvre après contact animal avec confusion, faiblesse majeure ou impossibilité de boire.",Moins de 24 heures,P1,P1,Infectiologie|Médecine tropicale|Médecine d’urgence,Urgences / évaluation immédiate,Infection avec signe de gravité systémique.
B06-269,Zoonoses,"fièvre après contact animal depuis deux jours, état général altéré mais patient conscient et capable de boire.",1 à 3 jours,P2,P2,Infectiologie|Médecine tropicale,Consultation médicale prioritaire,Infection symptomatique nécessitant évaluation rapide.
B06-270,Zoonoses,"fièvre après contact animal léger et stable, sans signe de gravité, depuis plusieurs jours.",Plus d'une semaine,P3,P3|P4,Infectiologie|Médecine tropicale,Consultation non urgente / programmée,Tableau léger/stable sans danger sign.
B06-271,Morsures et envenimations,morsure ou piqûre venimeuse d'apparition aiguë avec altération importante de l'état général.,Moins de 24 heures,P1,P1,Toxicologie|Médecine d’urgence,Urgences / évaluation immédiate,Tableau aigu à potentiel critique.
B06-272,Morsures et envenimations,"morsure ou piqûre venimeuse récent et significatif, sans signe de détresse immédiate.",1 à 3 jours,P2,P2,Toxicologie|Médecine d’urgence,Consultation médicale prioritaire,Tableau aigu nécessitant évaluation prioritaire.
B06-273,Morsures et envenimations,"morsure ou piqûre venimeuse stable, connu, sans aggravation depuis plusieurs semaines.",Plus d'une semaine,P3,P3,Toxicologie|Médecine d’urgence,Consultation non urgente / programmée,Problème stable nécessitant suivi programmé.
B06-274,Santé des réfugiés/déplacés,symptômes en contexte de déplacement récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Médecin généraliste|Médecine interne|Infectiologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-275,Santé des réfugiés/déplacés,"symptômes en contexte de déplacement persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Médecin généraliste|Médecine interne|Infectiologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-276,Santé des réfugiés/déplacés,"symptômes en contexte de déplacement léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Médecin généraliste|Médecine interne|Infectiologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-277,Médecine en zone minière,symptômes liés à l'exposition minière récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Médecin généraliste|Pneumologie|Médecine du travail,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-278,Médecine en zone minière,"symptômes liés à l'exposition minière persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Médecin généraliste|Pneumologie|Médecine du travail,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-279,Médecine en zone minière,"symptômes liés à l'exposition minière léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Médecin généraliste|Pneumologie|Médecine du travail,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-280,Santé rurale,symptômes en zone rurale éloignée récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Médecin généraliste|Médecine interne,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-281,Santé rurale,"symptômes en zone rurale éloignée persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Médecin généraliste|Médecine interne,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-282,Santé rurale,"symptômes en zone rurale éloignée léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Médecin généraliste|Médecine interne,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-283,Santé en zone forestière,fièvre après exposition forestière récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Médecin généraliste|Médecine tropicale|Infectiologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-284,Santé en zone forestière,"fièvre après exposition forestière persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Médecin généraliste|Médecine tropicale|Infectiologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-285,Santé en zone forestière,"fièvre après exposition forestière léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Médecin généraliste|Médecine tropicale|Infectiologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-286,Déshydratation,pertes hydriques récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Médecin généraliste|Gastro-entérologie|Infectiologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-287,Déshydratation,"pertes hydriques persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Médecin généraliste|Gastro-entérologie|Infectiologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-288,Déshydratation,"pertes hydriques léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Médecin généraliste|Gastro-entérologie|Infectiologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-289,Brûlures,Brûlure du visage après incendie avec voix rauque et difficulté à respirer.,Moins de 24 heures,P1,P1,Chirurgie plastique et reconstructive|Chirurgie générale|Médecine d’urgence,Urgences / évaluation immédiate,Risque d'atteinte des voies aériennes après brûlure.
B06-290,Brûlures,"Brûlure avec cloques sur l'avant-bras, surface limitée, douleur importante.",1 à 3 jours,P2,P2,Chirurgie plastique et reconstructive|Chirurgie générale,Consultation médicale prioritaire,Brûlure du deuxième degré limitée nécessitant évaluation.
B06-291,Brûlures,"Petite brûlure superficielle de 2 cm sur la main, rouge, sans cloque, douleur légère.",1 à 3 jours,P4,P3|P4,Chirurgie plastique et reconstructive|Chirurgie générale,Conseils / autosurveillance,Brûlure superficielle très limitée sans red flag.
B06-292,Plaies et infections cutanées,plaie infectée récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Dermatologie|Chirurgie générale,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-293,Plaies et infections cutanées,"plaie infectée persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Dermatologie|Chirurgie générale,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-294,Plaies et infections cutanées,"plaie infectée léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Dermatologie|Chirurgie générale,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-295,Douleur aiguë,douleur récente récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Médecin généraliste|Médecine d’urgence,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-296,Douleur aiguë,"douleur récente persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Médecin généraliste|Médecine d’urgence,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-297,Douleur aiguë,"douleur récente léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Médecin généraliste|Médecine d’urgence,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-298,Douleur chronique,douleur persistante récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Médecin généraliste|Médecine physique et réadaptation,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-299,Douleur chronique,"douleur persistante persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Médecin généraliste|Médecine physique et réadaptation,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-300,Douleur chronique,"douleur persistante léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Médecin généraliste|Médecine physique et réadaptation,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
